pincode,historical_pincode_rto_rate,pincode_tier
100000,0.3335,1
100001,0.1716,3
100002,0.2644,2
100003,0.2035,2
100004,0.271,2
100005,0.4861,3
100006,0.1113,1
100007,0.2982,3
100008,0.1627,1
100009,0.0652,1
100010,0.1149,2
100011,0.1568,3
100012,0.5201,3
100013,0.2305,3
100014,0.4439,3
100015,0.1305,3
100016,0.2559,2
100017,0.2384,1
100018,0.5155,3
100019,0.1295,2
100020,0.3095,2
100021,0.3598,2
100022,0.2208,1
100023,0.1893,3
100024,0.3499,3
100025,0.1239,2
100026,0.55,2
100027,0.3973,3
100028,0.1208,2
100029,0.0527,2
100030,0.1122,2
100031,0.2136,1
100032,0.1939,1
100033,0.0689,2
100034,0.4058,3
100035,0.1476,1
100036,0.55,3
100037,0.55,3
100038,0.2328,1
100039,0.2252,2
100040,0.2239,1
100041,0.0621,3
100042,0.2717,3
100043,0.2336,2
100044,0.1548,1
100045,0.3004,3
100046,0.5479,2
100047,0.364,3
100048,0.2338,3
100049,0.2127,3
100050,0.4229,3
100051,0.3365,1
100052,0.1874,2
100053,0.2664,2
100054,0.0743,2
100055,0.0557,1
100056,0.1138,2
100057,0.2681,1
100058,0.3086,3
100059,0.1783,3
100060,0.04,3
100061,0.3474,3
100062,0.2254,2
100063,0.2027,3
100064,0.04,2
100065,0.0802,1
100066,0.4913,3
100067,0.2827,2
100068,0.5251,1
100069,0.2066,2
100070,0.2857,3
100071,0.3067,1
100072,0.412,2
100073,0.2774,1
100074,0.2258,3
100075,0.4436,2
100076,0.2814,1
100077,0.0905,1
100078,0.04,2
100079,0.4321,3
100080,0.1841,3
100081,0.2085,2
100082,0.1545,1
100083,0.1621,3
100084,0.276,2
100085,0.1786,3
100086,0.1344,1
100087,0.3418,1
100088,0.1445,3
100089,0.3079,3
100090,0.4266,2
100091,0.55,3
100092,0.1328,3
100093,0.2182,2
100094,0.1111,3
100095,0.1891,1
100096,0.1134,1
100097,0.507,3
100098,0.21,2
100099,0.3129,1
100100,0.0708,3
100101,0.117,1
100102,0.2186,3
100103,0.2269,1
100104,0.2374,3
100105,0.1839,3
100106,0.1111,3
100107,0.2338,2
100108,0.417,2
100109,0.2411,3
100110,0.1857,1
100111,0.1566,3
100112,0.3428,2
100113,0.3118,2
100114,0.2476,2
100115,0.2223,2
100116,0.04,1
100117,0.1341,1
100118,0.1163,1
100119,0.0861,1
