order_id,order_date,order_value,quantity,category,discount_pct,payment_method,cod_charge,customer_id,account_age_days,prior_orders,prior_rto_count,pincode,courier_id,pincode_tier,historical_pincode_rto_rate,orders_last_24h,device_cluster_size,rto_label
ORD000000000,2026-03-01 00:01:11,413.33,3,Apparel,0.0,UPI,0.0,CUST009451,1440,31,8,100861,Courier_C,3,0.1359,0,4,1
ORD000000001,2026-03-01 00:05:11,394.52,1,Footwear,24.55,Credit Card,0.0,CUST000080,114,38,8,100665,Courier_C,3,0.2392,1,3,1
ORD000000002,2026-03-01 00:07:35,140.22,2,Beauty,15.11,Net Banking,0.0,CUST000008,490,44,3,100817,Courier_A,1,0.3544,4,2,0
ORD000000003,2026-03-01 00:16:55,672.09,4,Apparel,0.0,COD,20.0,CUST003102,78,44,7,100282,Courier_A,3,0.16,5,5,0
ORD000000004,2026-03-01 00:18:37,715.91,1,Beauty,19.04,Credit Card,0.0,CUST000709,104,24,5,100204,Courier_A,2,0.55,3,5,1
ORD000000005,2026-03-01 00:19:58,518.69,1,Home,0.0,UPI,0.0,CUST001181,292,16,7,100345,Courier_B,1,0.149,1,2,1
ORD000000006,2026-03-01 00:42:55,733.61,1,Apparel,14.04,COD,29.0,CUST004649,1034,30,1,100892,Courier_B,2,0.2221,4,4,1
ORD000000007,2026-03-01 00:49:16,739.88,1,Electronics,27.77,UPI,0.0,CUST008685,168,18,5,100951,Courier_C,1,0.2035,3,5,1
ORD000000008,2026-03-01 00:52:06,209.99,4,Jewelry,50.53,COD,39.0,CUST002222,1359,28,5,100137,Courier_B,1,0.0936,2,2,0
ORD000000009,2026-03-01 00:53:16,758.17,3,Apparel,0.0,UPI,0.0,CUST003606,1363,3,3,100205,Courier_D,1,0.3891,4,2,1
ORD000000010,2026-03-01 00:54:44,940.87,2,Footwear,7.16,UPI,0.0,CUST002184,909,10,1,100737,Courier_E,2,0.2454,0,5,0
ORD000000011,2026-03-01 01:04:37,167.72,1,Home,0.0,Credit Card,0.0,CUST000074,474,3,0,100081,Courier_A,2,0.2085,3,4,0
ORD000000012,2026-03-01 01:07:32,1940.1,3,Apparel,0.0,Credit Card,0.0,CUST007496,65,10,1,100543,Courier_A,1,0.2293,2,1,0
ORD000000013,2026-03-01 01:14:49,223.94,2,Electronics,0.0,COD,59.0,CUST003395,145,9,5,100910,Courier_A,3,0.04,5,4,0
ORD000000014,2026-03-01 01:18:02,242.11,2,Jewelry,0.0,COD,59.0,CUST008944,830,33,6,100822,Courier_C,1,0.1561,2,1,0
ORD000000015,2026-03-01 01:43:22,707.38,2,Beauty,0.0,UPI,0.0,CUST002583,611,34,9,100907,Courier_C,1,0.0482,2,3,1
ORD000000016,2026-03-01 01:46:23,923.12,1,Electronics,37.58,UPI,0.0,CUST006159,1298,36,3,100068,Courier_A,1,0.5251,5,1,0
ORD000000017,2026-03-01 01:53:26,1121.18,4,Beauty,20.83,Debit Card,0.0,CUST000974,838,22,0,100719,Courier_C,2,0.1694,4,2,0
ORD000000018,2026-03-01 01:55:34,942.74,1,Apparel,0.0,Credit Card,0.0,CUST005372,544,27,1,100619,Courier_A,1,0.1321,2,5,0
ORD000000019,2026-03-01 02:04:03,397.12,1,Jewelry,0.0,UPI,0.0,CUST008926,254,9,5,100966,Courier_E,2,0.2731,2,3,0
ORD000000020,2026-03-01 02:07:58,656.45,3,Apparel,14.16,UPI,0.0,CUST000127,1311,38,2,100401,Courier_C,3,0.1466,4,1,0
ORD000000021,2026-03-01 02:17:36,467.16,2,Footwear,47.24,COD,49.0,CUST007690,1206,38,9,100500,Courier_B,1,0.2367,2,2,1
ORD000000022,2026-03-01 02:32:51,691.88,1,Electronics,27.49,Debit Card,0.0,CUST002679,155,46,0,100993,Courier_B,2,0.2819,0,2,1
ORD000000023,2026-03-01 02:44:29,635.72,3,Electronics,0.0,COD,20.0,CUST008905,563,14,9,100515,Courier_A,1,0.1181,4,5,1
ORD000000024,2026-03-01 02:48:49,401.85,5,Home,0.0,Credit Card,0.0,CUST002882,115,36,3,100712,Courier_D,3,0.3095,3,4,1
ORD000000025,2026-03-01 02:51:04,455.88,2,Beauty,0.0,COD,29.0,CUST000311,1247,40,2,100026,Courier_B,2,0.55,1,3,0
ORD000000026,2026-03-01 02:57:21,136.76,3,Electronics,14.26,COD,20.0,CUST002803,551,8,6,100659,Courier_B,1,0.2004,5,4,0
ORD000000027,2026-03-01 03:04:36,1169.23,2,Home,21.22,Debit Card,0.0,CUST009825,1051,11,7,100130,Courier_C,2,0.2388,0,4,0
ORD000000028,2026-03-01 03:09:01,763.6,1,Footwear,0.0,Credit Card,0.0,CUST006558,998,46,9,100809,Courier_B,3,0.4676,5,3,0
ORD000000029,2026-03-01 03:12:32,95.07,1,Electronics,0.0,UPI,0.0,CUST007548,378,1,0,100405,Courier_C,2,0.1978,5,3,0
ORD000000030,2026-03-01 03:17:48,1135.16,3,Apparel,31.52,COD,79.0,CUST002344,723,8,4,100701,Courier_C,2,0.2929,4,3,0
ORD000000031,2026-03-01 03:38:39,576.85,3,Apparel,0.0,COD,20.0,CUST008776,557,22,9,100664,Courier_A,2,0.2168,4,5,1
ORD000000032,2026-03-01 03:39:31,284.45,1,Apparel,0.0,UPI,0.0,CUST004074,1396,9,5,100883,Courier_D,1,0.1103,5,5,0
ORD000000033,2026-03-01 03:40:06,264.98,4,Electronics,0.0,Credit Card,0.0,CUST002866,385,0,0,100041,Courier_A,3,0.0621,5,3,1
ORD000000034,2026-03-01 03:45:18,347.03,2,Apparel,20.45,UPI,0.0,CUST009498,1354,17,7,100886,Courier_D,1,0.2781,5,2,0
ORD000000035,2026-03-01 03:49:34,285.65,2,Apparel,14.11,UPI,0.0,CUST003733,1012,29,4,100967,Courier_D,1,0.0719,0,2,0
ORD000000036,2026-03-01 03:53:23,318.06,3,Beauty,0.0,COD,49.0,CUST003628,1218,42,5,100746,Courier_C,2,0.2648,4,4,0
ORD000000037,2026-03-01 04:07:27,2346.09,2,Beauty,0.0,UPI,0.0,CUST006179,1260,16,0,100888,Courier_E,1,0.2507,3,5,0
ORD000000038,2026-03-01 04:15:49,809.89,1,Beauty,0.0,COD,99.0,CUST009606,1183,35,1,100358,Courier_A,1,0.323,1,3,0
ORD000000039,2026-03-01 04:29:53,3068.08,1,Home,0.0,COD,79.0,CUST002682,1038,28,8,100332,Courier_A,1,0.1249,5,3,0
ORD000000040,2026-03-01 04:32:18,720.97,1,Beauty,58.97,Debit Card,0.0,CUST003871,666,38,9,100531,Courier_B,1,0.1087,1,1,0
ORD000000041,2026-03-01 04:32:44,956.63,2,Apparel,10.03,UPI,0.0,CUST006930,852,49,4,100317,Courier_D,3,0.281,3,2,1
